unique_ID,step,type,Transacted_amount,Originator_acc_num,Orig_OLD_acc_balance,Orig_NEW_acc_balance,Destination_acc_num,Dest_OLD_acc_balance,Dest_NEW_acc_balance,latitude,longitude,street,country,state,Day_time,day_number,total_hrs_from_first_trans,transaction_type,alerts_generated,SAR_Fraud
757d2b67-0b82-43e2-a8fa-10c1c87f1b70,693.0,CASH_OUT,1018645.2,C798424604,1018645.2,0.0,C1341894721,80713.83,1099359.03,33.45122,-86.99665999999999,Hueytown,US,Chicago,28 days 21:00:00,28.0,693.0,3,1.0,1
7d825079-c55d-436e-bacb-fdc8872e3af5,373.0,CASH_OUT,141410.98,C767066926,141410.98,0.0,C1291704939,594609.75,736020.74,26.684509999999996,-80.66756,Belle Glade,US,New_York,15 days 13:00:00,15.0,373.0,3,1.0,0
48bbf915-e742-4247-a4e4-5f5907dfa499,303.0,TRANSFER,199870.29,C37736433,199870.29,0.0,C279131656,0.0,0.0,34.25628,-78.04471,Leland,US,New_York,12 days 15:00:00,12.0,303.0,4,1.0,0
f8211b51-5cc1-425a-8385-f9082c033715,213.0,CASH_OUT,1650168.9,C1395729546,1650168.9,0.0,C246301673,3023206.41,4673375.3,40.2737,-76.88441999999999,Harrisburg,US,New_York,8 days 21:00:00,8.0,213.0,3,1.0,0
566c99f6-591f-4cf5-9dac-b52154c5985c,635.0,CASH_OUT,182739.36,C1691189343,182739.36,0.0,C654896050,2520763.27,2703502.63,40.63316,-74.13653000000001,Port Richmond,US,New_York,26 days 11:00:00,26.0,635.0,3,1.0,0
2b9e02b0-c1f1-4926-b795-349b8f2c9b06,37.0,TRANSFER,128133.0,C1300586295,128133.0,0.0,C786580223,0.0,0.0,33.931129999999996,-117.54866000000001,Norco,US,Los_Angeles,1 days 13:00:00,1.0,37.0,4,1.0,0
375bea1f-7e60-4d48-b46e-3de2b359453f,285.0,TRANSFER,179648.89,C1502819144,179648.89,0.0,C451429333,0.0,0.0,40.57788,-73.95958,Brighton Beach,US,New_York,11 days 21:00:00,11.0,285.00000000000006,4,1.0,0
7680726a-db07-4332-83d1-cdd99d9eb3e8,702.0,CASH_OUT,0.0,C1461113533,0.0,0.0,C1382150537,107777.02,107777.02,39.091120000000004,-94.41551,Independence,US,Chicago,29 days 06:00:00,29.0,702.0,3,1.0,1
128cd477-dab3-4253-9e09-f4c0185d23a9,395.0,TRANSFER,47984.43,C276886611,47984.43,0.0,C199895284,0.0,0.0,45.53929,-122.38731000000001,Troutdale,US,Los_Angeles,16 days 11:00:00,16.0,395.0,4,1.0,0
17cd6634-5c35-47b5-a3b7-a39833061f2b,13.0,TRANSFER,6188514.81,C135832352,6188514.81,0.0,C2009346140,0.0,0.0,40.94065,-73.99681,Dumont,US,New_York,0 days 13:00:00,0.0,13.0,4,1.0,0
e5ed6e99-1f47-407a-8f09-1bb75245c193,730.0,CASH_OUT,338364.14,C449727386,338364.14,0.0,C1527134062,724300.82,1062664.96,35.88264,-80.08199,Thomasville,US,New_York,30 days 10:00:00,30.0,730.0,3,1.0,0
d9381984-da52-4c75-a415-5fbbc4af1866,742.0,CASH_OUT,652993.91,C1614818636,652993.91,0.0,C362803701,0.0,652993.91,33.44872,-86.78777,Vestavia Hills,US,Chicago,30 days 22:00:00,30.0,742.0,3,1.0,0
a630c411-2868-4ff3-8352-a3b94e1565c9,207.0,CASH_OUT,328110.3,C546304299,328110.3,0.0,C982969459,2649979.1,2978089.39,40.58654,-122.39168000000001,Redding,US,Los_Angeles,8 days 15:00:00,8.0,207.0,3,1.0,0
d3eb3556-52cd-4fb0-ae49-eff39c53bc7f,454.0,TRANSFER,404185.57,C1287154806,404185.57,0.0,C351712967,0.0,0.0,40.65538,-74.38987,Scotch Plains,US,New_York,18 days 22:00:00,18.0,454.0,4,1.0,0
37f14ddd-7408-46e5-a967-1aa32ef99f0b,8.0,TRANSFER,29707.86,C1825456600,29707.86,0.0,C570409417,0.0,0.0,42.35843,-71.05977,Boston,US,New_York,0 days 08:00:00,0.0,8.0,4,1.0,0
17dfa725-8567-4d14-851c-e6e6a15dae89,553.0,CASH_OUT,151105.97,C2068722215,151105.97,0.0,C1242414689,0.0,151105.97,38.96372,-76.99081,Chillum,US,New_York,23 days 01:00:00,23.0,553.0000000000001,3,1.0,0
6bd05ea5-083c-4717-8559-da7fccc15c9e,436.0,TRANSFER,513693.13,C862823643,513693.13,0.0,C359107574,0.0,0.0,45.494279999999996,-122.86705,Aloha,US,Los_Angeles,18 days 04:00:00,18.0,436.0,4,1.0,0
f4293d0b-d7a8-4b1e-bbfd-3f7e0e69375c,157.0,CASH_OUT,4738282.28,C751624512,4738282.28,0.0,C320991755,0.0,4738282.28,45.494279999999996,-122.86705,Aloha,US,Los_Angeles,6 days 13:00:00,6.0,157.0,3,1.0,0
d54a0941-4268-4097-adf3-b03d86b9592d,87.0,TRANSFER,115461.48,C1864352304,115461.48,0.0,C238575749,0.0,0.0,34.142509999999994,-118.25508,Glendale,US,Los_Angeles,3 days 15:00:00,3.0,87.0,4,1.0,0
0c3df145-210f-49cf-b6d8-14d614ba69a9,117.0,TRANSFER,251621.18,C879463132,251621.18,0.0,C89396076,0.0,0.0,42.583420000000004,-71.8023,Fitchburg,US,New_York,4 days 21:00:00,4.0,117.0,4,1.0,0
cc3da784-00e2-489c-971a-c8ccaa30bb42,273.0,TRANSFER,103078.52,C1724879922,103078.52,0.0,C728668261,0.0,0.0,30.16688,-96.39774,Brenham,US,Chicago,11 days 09:00:00,11.0,273.00000000000006,4,1.0,0
6d301326-632b-4a0e-bbe0-9b4ac209c02d,640.0,CASH_OUT,49871.73,C981772775,49871.73,0.0,C49776683,500871.89,550743.62,45.53929,-122.38731000000001,Troutdale,US,Los_Angeles,26 days 16:00:00,26.0,640.0,3,1.0,0
b2f97119-95c0-47e9-8625-6aa07ab5edca,308.0,CASH_OUT,443682.96,C1497447156,443682.96,0.0,C817261687,587076.1,1030759.06,34.09668,-117.71978,Claremont,US,Los_Angeles,12 days 20:00:00,12.0,308.0,3,1.0,0
17222f8d-3d72-42e1-99ad-103ca660ad91,491.0,CASH_OUT,25616.71,C194800493,25616.71,0.0,C830552686,3380917.08,3406533.8,34.096109999999996,-118.10583000000001,San Gabriel,US,Los_Angeles,20 days 11:00:00,20.0,491.0,3,1.0,0
